pickup_spot,dropoff_spot,min_dep_time
102064,77703,1811
87632,88062,1836
43635,114387,1858
78747,121664,1861
40434,16007,1882
81961,8435,1897
156084,20064,1912
35475,35021,1921
135965,133258,1944
70334,54374,1994
61932,104885,2007
83615,96894,2031
70907,114387,2105
24921,140198,2127
65216,19155,2132
125859,86831,2144
38712,158427,2148
103386,40049,2195
36148,11788,2253
142840,160691,2277
146679,7898,2281
115297,158585,2305
153225,112004,2313
78329,117798,2314
40676,116765,2317
63626,11517,2352
99424,93275,2373
70033,80199,2432
5424,143132,2433
103661,1705,2456
138270,120913,2468
138149,136024,2551
145693,22785,2553
155136,30051,2586
130569,72850,2604
66863,110416,2638
11471,155023,2654
24224,44335,2669
19925,28802,2688
96171,157054,2695
52904,51624,2698
121501,33879,2705
109275,67720,2719
59849,45968,2726
148230,104999,2729
70021,107881,2750
20478,156892,2762
141309,130600,2770
96894,83615,2801
111269,51936,2849
157655,92441,2862
28083,143191,2886
19155,50080,2897
144654,85245,2919
11788,68853,2935
91833,80034,2938
1705,103661,2996
141895,90760,3017
7712,76995,3017
22785,84735,3033
80201,5019,3089
142336,157612,3097
11517,63626,3111
102581,52658,3112
16965,15745,3121
138671,16960,3126
58405,133743,3155
141078,101253,3174
80199,70033,3181
128547,18032,3193
105654,129851,3209
17845,37179,3211
140198,24921,3241
129838,111178,3264
77529,100982,3275
107787,63664,3286
19483,116608,3287
741,147663,3291
117703,31570,3295
150515,27065,3308
77703,84759,3367
21675,45560,3394
97324,129038,3397
119052,10820,3470
128798,2034,3471
98222,9041,3473
116221,154283,3497
136901,51203,3514
111589,18627,3527
122591,44719,3536
98612,90351,3545
37131,77413,3552
67720,109275,3581
68853,31979,3608
15745,158660,3612
40002,107618,3620
114387,70907,3626
31409,124616,3629
31570,117703,3643
51624,52904,3661
92441,157655,3678
45560,47334,3682
144999,133489,3704
24055,108296,3706
8646,18901,3709
84735,145693,3765
85008,96741,3767
44335,24224,3781
101253,141078,3817
133743,58405,3827
134410,32851,3836
37133,38018,3876
37179,17845,3877
66162,148397,3877
75183,21570,3892
134260,70325,3943
24372,156380,3945
10753,121619,3952
34447,116173,3953
10820,119052,3983
75756,40387,4037
62329,101999,4097
138243,85346,4118
16007,40434,4120
133270,91240,4145
9041,98222,4174
136685,89973,4177
117796,52667,4207
68794,20037,4243
8238,104246,4266
93249,152847,4300
107881,70021,4322
147663,741,4323
44245,86101,4331
133258,135965,4351
18627,111589,4356
132587,21567,4373
20078,133347,4394
23482,121554,4416
136656,1641,4434
131602,33107,4514
32851,134410,4526
90351,98612,4562
97373,38668,4597
154283,116221,4604
141864,87628,4638
117605,58365,4643
26989,109518,4687
116608,19483,4712
18901,2874,4714
144126,27065,4726
72850,130569,4736
115004,21755,4751
116173,34447,4766
92164,106801,4777
50523,107653,4866
40415,106359,4879
143191,28083,4920
138908,35298,4942
129092,157655,4946
31979,36148,4978
122854,127423,5030
67268,101966,5032
2034,128798,5038
85346,132209,5039
86101,44245,5041
89973,7948,5077
102809,114746,5133
87201,56336,5184
78840,114688,5186
130600,141309,5186
47334,11933,5232
100074,83997,5250
42607,49717,5257
47394,29120,5261
70220,60878,5268
142842,14515,5277
73160,76173,5331
73349,124139,5406
153955,70245,5416
33951,41419,5446
49788,72549,5457
155694,152317,5484
96357,51065,5506
65955,79365,5523
21567,132587,5552
56665,43917,5570
134440,81460,5600
113630,134087,5625
135200,20871,5634
133562,19147,5645
156463,31040,5646
58365,117605,5653
141819,146651,5692
140693,55295,5695
5351,88413,5699
3250,137354,5717
92123,17555,5730
90760,98363,5744
60994,153565,5802
32300,26113,5821
122924,98255,5842
60878,70220,5854
1714,19691,5860
53594,146859,5893
7188,84667,5903
76995,7712,5920
29120,47394,5962
7948,136685,5969
101999,62329,6044
144178,132634,6070
127423,122854,6077
22990,159469,6078
157037,47997,6087
154765,5344,6108
31070,103015,6134
11933,18664,6139
155558,65237,6151
114746,102809,6153
72549,60877,6157
114007,56220,6161
77419,78248,6167
14515,142842,6175
86108,410,6183
57098,48747,6233
152317,155694,6240
101966,67268,6240
121554,23482,6241
55295,140693,6243
28180,149474,6245
137354,139368,6246
86853,16089,6263
67295,76898,6276
19147,106159,6283
103180,99018,6307
41419,33951,6309
49717,42607,6310
99099,126598,6329
109518,26989,6331
156380,24372,6419
72972,140157,6439
35298,138908,6441
104999,148230,6450
134087,113630,6472
150388,40247,6473
8863,4775,6475
139368,3250,6479
37139,147287,6487
85531,103480,6532
19691,437,6563
106359,117024,6585
51600,23226,6590
88413,5351,6611
35101,22019,6664
159507,34241,6691
124160,17995,6692
81460,134440,6709
107653,50523,6733
56220,114007,6738
47997,157037,6745
107392,8164,6748
114688,78840,6772
84667,7188,6779
83997,100074,6786
113146,85511,6825
17555,84665,6861
70245,153955,6891
107758,8845,6894
114542,26172,6904
2032,28188,6948
85356,142668,6987
157655,136575,7001
43917,56665,7010
5344,154765,7014
117024,84665,7059
65490,36141,7061
149474,51915,7065
109202,62215,7072
153889,31033,7107
8164,107392,7116
159515,112024,7123
51065,116985,7125
126181,107965,7139
5841,35933,7148
20249,13424,7205
62894,7651,7209
96441,107307,7209
126598,99099,7222
74844,140420,7239
108226,102289,7253
78248,77419,7274
59549,156507,7298
115963,147134,7307
1784,152397,7327
147287,36896,7331
48747,57098,7392
19177,55970,7429
120913,138270,7436
28411,156346,7443
11999,62615,7451
124139,73349,7498
109036,141438,7500
160338,18115,7541
154212,57956,7554
3186,41778,7577
126222,113719,7577
60877,49788,7596
84428,34934,7597
23226,51600,7599
144171,157056,7614
31540,40441,7638
22019,95466,7641
21755,115004,7657
51915,84684,7672
20938,135057,7681
140157,72972,7688
62215,109202,7704
4775,8863,7704
146859,53594,7718
410,86108,7736
152046,132010,7779
57155,78378,7781
84549,3295,7786
64107,12156,7792
16089,86853,7811
100501,34151,7834
17180,122102,7839
140275,128332,7839
107886,119210,7860
26113,94338,7861
117719,54285,7864
38018,54535,7865
154294,124525,7872
117798,122184,7886
19238,72974,7890
55970,19177,7903
126510,80949,7914
104264,122560,7964
102805,604,8008
132207,95580,8019
103480,85531,8033
65162,743,8035
32449,103066,8039
102289,108226,8050
110494,35813,8059
17995,47895,8099
113146,14965,8108
78086,77582,8112
42762,43269,8120
18664,21675,8144
112024,110950,8159
3000,152121,8162
36896,37139,8239
120943,96305,8241
154411,118807,8243
97536,47639,8249
13302,25104,8266
13424,20249,8272
85477,74873,8284
79365,65955,8299
53469,121538,8320
84759,102064,8327
153947,122642,8341
88098,36728,8342
118287,137287,8350
92201,121569,8353
85511,113146,8355
136231,114427,8355
20725,105656,8365
20871,8267,8399
40441,64308,8452
47100,38325,8454
36141,65490,8458
116668,105609,8481
116985,116463,8486
15758,15711,8492
38423,117796,8498
138090,33212,8505
85114,3370,8506
27065,144126,8508
29308,97239,8528
78378,57155,8530
54285,117719,8534
119885,141232,8535
152397,57287,8555
25146,77527,8565
136639,75626,8568
105654,126340,8578
47232,127746,8592
394,143284,8594
160640,73746,8596
57752,66822,8638
43269,42762,8656
157056,144171,8661
104708,62098,8670
94741,37320,8689
156346,28411,8713
26922,105235,8714
34934,133355,8714
113719,139428,8734
62157,55681,8735
62615,11999,8748
159416,14915,8754
12443,48808,8758
25104,107575,8767
95661,98776,8797
35813,110494,8808
149018,154584,8842
87055,11571,8845
111260,123719,8860
26272,97515,8865
27310,27312,8866
152847,93249,8909
85744,110704,8915
65542,110552,8929
40417,54430,8947
125444,136728,8950
28802,19925,8963
105584,5377,8970
80314,74732,9001
8435,102339,9022
39641,155023,9023
31033,153889,9025
76061,135868,9033
3370,85114,9034
95466,145349,9060
156507,59549,9062
84168,147926,9063
127746,47232,9104
122560,104264,9111
154627,22131,9119
17784,140963,9135
118807,154411,9167
80949,13106,9170
82500,100418,9194
124160,25907,9196
51198,123827,9206
29182,54036,9209
60675,69887,9210
76898,67295,9224
55681,62157,9228
47895,100311,9233
128874,156882,9236
88062,87632,9237
77996,140383,9239
154245,50796,9257
12156,64104,9258
48420,68172,9268
58154,23684,9270
125759,7295,9276
107372,16709,9297
137677,21955,9305
15711,15758,9348
110704,85744,9362
143284,156071,9378
124427,54347,9408
23754,44329,9408
14915,149431,9412
99018,103180,9413
74320,65672,9421
62798,62669,9423
52667,117796,9424
140237,79590,9426
108923,14352,9473
38325,159041,9476
140963,17784,9480
69954,43635,9506
34206,114785,9514
22370,118848,9525
134636,136203,9527
80400,111708,9565
2981,12253,9573
80346,20078,9598
131484,82201,9602
126340,102700,9628
154275,58219,9635
151316,105062,9643
156071,47497,9654
14965,113146,9664
5377,105584,9674
74873,85477,9680
47639,97536,9699
54036,29182,9702
10028,122697,9724
124525,154294,9731
107575,107547,9734
41778,86015,9739
58991,159779,9751
57287,87246,9773
42335,75029,9779
154394,4961,9791
1245,81474,9812
57912,102738,9823
105609,116668,9826
54430,40417,9829
149381,109565,9835
98776,95661,9856
62098,13646,9860
26774,97620,9861
16709,107372,9871
5527,16943,9873
25654,100982,9901
27642,3551,9904
84964,1896,9932
54920,107298,9934
41023,86090,9935
77390,28517,9955
126590,129134,9969
136728,125444,9975
36843,142429,9989
140733,123007,9998
104287,57903,10017
23192,94710,10022
13106,126510,10032
129235,65646,10047
52089,33673,10063
151687,125838,10066
89080,17365,10081
139779,100854,10109
13120,137503,10119
81418,56395,10129
122094,132119,10158
95580,132207,10164
132744,13069,10188
86246,77895,10204
2179,140127,10209
64308,128196,10251
25499,110528,10254
100311,124160,10278
20516,5865,10283
97874,8521,10292
126684,126708,10294
98421,84549,10298
106361,104999,10302
7651,62894,10306
132010,152046,10320
155023,11471,10321
129722,157038,10358
146651,20506,10386
13646,96333,10394
98616,95283,10403
122642,153947,10417
140996,43142,10417
118848,108504,10427
145349,18851,10435
47497,394,10451
131238,124059,10504
74435,90387,10505
14452,159743,10516
159779,58991,10530
122546,104258,10544
121538,123814,10556
107307,82793,10562
68859,75282,10576
65672,74320,10582
149431,159416,10589
155057,145611,10592
73746,160640,10651
61431,43846,10670
68014,72286,10688
126708,126684,10688
105235,26922,10690
87246,101319,10699
79050,55285,10705
136203,134636,10705
91822,89671,10708
131238,121471,10712
44329,23754,10716
32298,34041,10723
73680,127688,10736
108265,85491,10737
100418,82500,10740
81163,23951,10749
29362,8507,10750
151350,95494,10777
85286,506,10783
50796,154245,10817
100982,25654,10849
128196,28248,10851
105062,151316,10856
123007,140733,10857
18782,93250,10860
97239,29308,10861
111156,34082,10868
130478,60349,10874
146967,149712,10882
100535,136602,10892
65362,27592,10921
3295,21937,10921
65193,112698,10931
53856,83337,10935
107781,47177,10936
141232,119885,10948
6164,20693,10958
102700,105654,10961
147454,152002,10968
57956,154212,11007
119443,29278,11024
100854,139779,11026
54347,124427,11032
107547,13302,11033
110950,159515,11037
43635,69954,11040
149002,120516,11045
72974,139857,11051
101862,21755,11071
54535,38018,11087
37320,94741,11092
84684,28180,11103
60365,29602,11104
94235,77589,11117
104699,29952,11129
76168,27345,11138
140383,121515,11151
141330,47535,11156
133027,88706,11160
35933,5841,11164
604,102805,11170
110528,25499,11176
18851,35101,11212
73532,12269,11217
4961,154394,11221
136679,125571,11231
78365,47680,11253
35902,27049,11264
23684,58154,11266
1896,3303,11272
123827,51198,11289
35986,25006,11289
49858,111193,11302
135868,76061,11312
45455,143096,11317
98681,91198,11317
92330,84921,11318
24775,143744,11326
27157,20357,11326
12016,23206,11327
33214,138090,11344
100412,153607,11348
7148,152317,11350
100980,150746,11352
68124,1641,11375
20506,141819,11415
155023,39641,11422
65542,120385,11422
93250,18782,11428
95494,151350,11441
15266,141226,11449
37633,43526,11484
67946,25004,11499
12253,2981,11501
64276,72961,11502
56395,81418,11509
61686,107885,11512
119210,107886,11535
77895,86246,11563
12410,113322,11563
35101,91807,11583
124059,131238,11594
100507,156701,11595
7365,31875,11613
104168,55214,11614
158514,142021,11615
152187,113868,11624
39385,40561,11626
76305,102245,11662
105656,20725,11687
128975,159163,11693
108504,8833,11694
114785,34206,11697
29144,68244,11701
62865,153839,11719
506,47652,11727
10988,120834,11741
75282,68859,11751
103243,97680,11757
34151,100501,11762
78123,154145,11774
84569,118196,11784
123719,111260,11789
104741,19436,11815
41723,70794,11825
121200,52357,11841
90560,12182,11844
158615,2577,11851
82793,96441,11852
68172,48420,11853
29832,119370,11860
127688,73680,11872
8507,42363,11873
140155,106807,11910
119397,21611,11916
72286,68014,11939
8507,29362,11941
3551,108700,11961
34041,32298,11972
147217,90404,11980
103553,89915,11982
14352,108923,12001
81474,1245,12001
84549,64366,12005
74873,76846,12006
137503,53176,12020
55187,146320,12031
158320,154717,12045
39316,83997,12046
142070,159831,12053
125781,149857,12055
52355,13798,12060
20812,126678,12065
81905,27744,12070
23951,81163,12071
116463,96357,12094
20578,95213,12099
76270,117413,12106
120385,65542,12152
101145,59452,12171
55859,71373,12193
120516,149002,12199
119417,103633,12200
104999,106361,12228
2803,99867,12231
72961,64276,12238
28008,157404,12245
129134,126590,12249
27592,65362,12255
145611,155057,12257
12293,143580,12269
51396,136973,12297
27582,38300,12310
149811,156689,12317
127549,99783,12321
102738,57912,12326
905,94889,12332
107559,33657,12335
135702,132166,12344
133120,147175,12351
5631,69784,12360
83293,126414,12360
139857,142764,12364
126823,122701,12380
104667,17433,12386
91198,27674,12387
90387,74435,12406
29278,119443,12414
117796,38423,12443
93258,154404,12465
43142,140996,12471
40460,36518,12481
55781,33530,12505
86090,41023,12509
50643,34411,12517
15773,121196,12530
9894,99811,12547
102245,76305,12556
68244,29144,12559
24128,49558,12566
73955,2577,12575
25006,35986,12580
108285,143848,12584
81341,126619,12593
34074,147000,12607
97680,103243,12608
42946,24255,12618
134199,80980,12648
64366,15040,12648
15602,91500,12649
44458,120537,12652
40561,39385,12658
28188,2032,12669
4276,142760,12681
107965,126181,12681
98683,132764,12684
20693,6164,12689
31875,7365,12694
24188,106788,12695
141226,15266,12726
8833,35107,12728
111719,131370,12739
37971,90497,12747
20773,118972,12748
159831,142070,12750
55285,79050,12757
56336,147152,12777
140127,2179,12780
3748,142706,12780
22131,154627,12802
84563,16699,12804
111193,49858,12810
27345,76168,12818
91240,133270,12819
12269,73532,12831
22702,38263,12833
42669,42178,12838
5824,151393,12844
116005,138000,12848
143720,133320,12849
132119,122094,12852
96333,104708,12866
108226,159533,12874
112698,65193,12879
140159,14941,12884
51647,123286,12885
123734,16465,12900
121471,131238,12902
152790,101844,12920
149260,147863,12927
110552,65542,12934
123290,159779,12936
150155,150990,12972
156689,149811,12974
25006,156713,12978
16960,138671,12978
52357,121200,12983
121970,77746,12992
66729,106909,13006
59452,101145,13009
63572,68244,13013
13069,132744,13014
60367,27280,13019
142021,158514,13035
144003,149214,13055
103779,146504,13068
52275,137303,13083
25004,67946,13091
153607,100412,13094
20773,39084,13095
56786,56844,13102
81139,23881,13104
104353,65540,13110
34253,159799,13116
97620,26774,13139
33930,135571,13145
123827,126224,13147
22934,68353,13164
137319,3303,13167
60552,83331,13176
91751,15842,13190
24783,101515,13202
83818,122346,13210
68015,105844,13212
121001,48420,13220
61694,7864,13221
104258,122546,13226
147346,85153,13237
77683,126682,13238
3250,136740,13244
52658,102581,13245
154727,63809,13246
33657,107559,13246
131370,111719,13248
151221,117307,13249
29703,13187,13250
19436,104741,13259
116507,144847,13267
71373,55859,13273
60890,80214,13273
15951,11210,13279
12087,46688,13295
143580,12293,13301
50913,143026,13314
60349,130478,13316
77142,29460,13322
42178,42669,13339
99867,37147,13340
96305,138427,13342
122697,10028,13342
99830,87168,13345
153565,60994,13348
57206,22551,13354
41448,104535,13354
39431,67725,13357
74126,100099,13359
126414,83293,13376
121619,77173,13378
979,15448,13378
127094,136585,13379
334,27017,13392
118972,20773,13400
82607,28254,13402
126584,20701,13412
98614,363,13415
86573,20543,13425
121515,77996,13427
106185,40367,13436
107885,61692,13436
90081,68103,13437
36728,88098,13437
103902,10464,13451
103447,86541,13455
142842,115244,13457
67731,23850,13459
2650,62987,13465
55759,128543,13469
83542,151725,13470
93673,69454,13489
81486,58315,13490
53235,90475,13492
121569,92201,13510
76313,98063,13513
88675,26993,13514
27814,80112,13523
66810,142172,13534
77746,121970,13534
83337,53856,13535
136679,148050,13555
92170,96377,13563
33605,99152,13574
105844,68015,13578
144490,44236,13580
84947,118190,13580
49125,85557,13588
101319,65638,13590
108700,27642,13605
147000,34074,13609
12182,90560,13619
26403,160526,13625
19659,13443,13626
147236,125759,13632
136575,94899,13636
85740,122556,13646
61971,77862,13655
35390,107918,13670
129784,129299,13670
94338,109646,13671
143096,45455,13673
116989,129975,13676
95283,98616,13703
122701,126823,13712
132166,135702,13715
122705,50761,13718
70397,101953,13718
82668,97922,13746
122414,26444,13747
115766,24585,13751
21611,119397,13755
34245,76779,13755
96622,117786,13760
159713,147536,13776
152002,50927,13800
92944,24652,13802
120537,44458,13811
37147,137683,13818
30051,62604,13824
152121,3000,13831
133320,143720,13842
133858,147051,13846
126224,123827,13848
48420,121001,13852
85153,10312,13854
38018,37133,13861
154404,93258,13862
157404,51159,13864
115441,56646,13869
95123,12401,13874
132764,98683,13880
136396,37413,13886
148549,6714,13893
83872,32019,13907
101218,76810,13910
141002,139311,13913
51936,131591,13918
9512,123742,13918
54535,108474,13927
99783,127549,13927
43846,61431,13929
51471,85246,13937
33530,55781,13940
104226,110819,13960
53176,13120,13978
136740,3250,13983
110438,81332,13996
143848,108285,14003
3303,137319,14010
77411,47087,14011
73494,27839,14013
90404,147217,14024
107298,54920,14025
118560,108414,14029
144124,77678,14030
79022,28151,14030
79590,31781,14033
22551,57206,14034
37428,78122,14036
90499,22636,14042
22704,120508,14055
82153,97077,14056
146504,103779,14072
138518,110093,14073
38308,73778,14082
135092,77260,14088
111239,58819,14095
62987,2650,14097
156701,100507,14106
13798,52355,14107
89709,135819,14110
101515,24783,14116
22102,62871,14122
88865,157590,14127
105137,16121,14129
56844,56901,14135
909,149836,14136
95213,20578,14139
36518,40460,14139
115947,57437,14141
135237,22295,14162
110172,64676,14168
159779,104181,14175
73175,18435,14182
75299,141831,14183
146320,55187,14183
85306,36514,14184
94760,145357,14191
103506,155051,14196
38183,151058,14201
1324,60295,14214
136888,53481,14221
74281,4961,14225
86205,13266,14226
142429,36843,14231
137683,2803,14232
26999,17680,14251
142408,41716,14262
38868,134507,14271
70325,134260,14274
150434,8077,14275
37946,84589,14280
146864,158387,14295
67275,34139,14312
138000,116005,14316
98376,39723,14319
15842,91751,14321
145165,149295,14323
4226,155051,14326
121196,15773,14329
112019,122254,14339
125541,120107,14340
28051,153859,14340
127730,16121,14352
111486,109930,14373
97104,97239,14381
130015,137742,14387
138411,52591,14388
46688,12087,14390
83997,39316,14391
81444,75478,14394
47997,97085,14396
101953,70397,14397
96241,153484,14400
85582,34385,14401
126763,142391,14402
117307,151221,14403
103066,32449,14410
116610,151725,14412
34764,19876,14413
155896,55747,14415
106807,140155,14416
32019,83872,14432
99152,33605,14436
33097,6546,14439
37088,34153,14452
147863,5949,14452
147924,75736,14453
135057,22798,14462
85572,37805,14468
129453,21913,14473
27839,16521,14477
32285,124523,14483
154717,158320,14483
90475,53235,14485
150437,53111,14486
25132,32718,14493
61228,11088,14499
132634,144178,14500
20446,34671,14502
87168,99830,14519
14941,140159,14520
21937,84549,14526
145938,80773,14534
23230,5465,14538
16699,79845,14542
105963,28107,14542
120882,53842,14549
50927,65672,14550
15926,122094,14551
105496,28117,14551
91159,135508,14552
100186,35476,14554
17448,36886,14559
138130,144160,14581
104181,101696,14582
44102,63552,14585
85246,51471,14585
135571,33930,14588
28274,154596,14590
104717,20520,14593
73778,38308,14595
21955,137677,14607
35107,22370,14620
46063,65394,14629
20543,86573,14633
68095,76899,14646
56082,69786,14649
106171,123055,14652
160052,90277,14660
149836,909,14666
25201,151424,14673
142172,66810,14677
86015,94322,14694
51414,34715,14696
13187,29703,14700
10312,147346,14703
2482,34715,14713
138427,112459,14728
87077,21419,14728
142668,85356,14730
140276,67167,14734
108158,53981,14734
138145,2985,14738
103916,109245,14741
79299,23597,14748
145743,14024,14750
146074,46646,14751
149712,12443,14752
33119,159636,14752
59154,84517,14763
105147,114023,14770
20312,50870,14778
115793,132389,14780
31781,3187,14791
53504,148154,14799
47497,13159,14810
103330,104123,14817
15460,100316,14819
35257,12253,14821
126619,22285,14832
37904,132503,14835
83109,72918,14836
135810,31934,14840
56336,146335,14843
19318,22081,14850
144136,106801,14852
56844,56786,14857
35376,34682,14860
50761,156507,14861
135164,38263,14864
99814,118811,14868
68353,22934,14869
70780,97104,14880
149295,145165,14892
3408,152477,14897
2053,33005,14899
52878,151665,14902
139311,141002,14904
92347,45712,14907
78956,54273,14909
79939,29614,14915
67323,99674,14918
160526,26403,14927
531,72477,14935
135508,91159,14936
11088,61228,14940
85175,19151,14941
151058,153179,14947
149414,145453,14952
26444,154721,14954
97077,97057,14962
743,30467,14964
115725,84517,14964
86132,53369,14968
115791,154516,14970
20913,37344,14980
37805,85572,14988
32143,272,14998
58401,14566,15008
33762,156069,15008
45968,59849,15011
11286,72580,15013
17663,120068,15014
155611,1641,15017
16883,117214,15019
6714,48091,15025
102051,26506,15032
15448,28316,15037
83621,94059,15046
31040,130155,15069
109204,134260,15075
28274,154625,15089
44305,137307,15090
13726,38263,15092
96777,75478,15100
1641,122799,15104
4021,114023,15111
58842,86080,15113
139754,35984,15114
85245,144654,15128
159743,14452,15137
158316,27674,15139
118190,84947,15146
33235,46133,15152
57548,24235,15157
27049,35902,15157
147185,45599,15158
146336,123373,15161
128543,55759,15162
12184,44888,15162
84747,142123,15165
17365,89080,15178
58219,12681,15183
52591,138411,15188
47701,153841,15197
102586,91803,15199
47087,77411,15200
97922,82668,15212
120955,156984,15227
105597,114023,15228
49558,24128,15243
154413,18643,15249
63809,154727,15252
152263,45153,15255
129526,58509,15258
23461,24964,15259
22499,113898,15264
66798,7554,15270
137742,16717,15271
47177,107781,15284
94605,12184,15291
153484,96241,15296
96441,38666,15297
109742,391,15307
97358,77419,15321
37083,145926,15323
94322,3186,15324
7823,105335,15332
77869,151725,15341
70792,41703,15343
3381,67508,15344
135819,145865,15351
25898,732,15357
149341,16699,15378
68244,63572,15389
8236,12263,15390
140574,35021,15407
18435,73175,15409
47652,85286,15414
115222,3278,15415
16521,27839,15419
65672,147454,15421
91746,102442,15425
77935,77161,15434
67725,39431,15442
34082,103207,15452
58515,35207,15470
33710,13554,15484
27815,145734,15486
122254,112019,15492
34671,20446,15501
147175,133120,15507
61725,122220,15508
154871,121200,15510
62604,155136,15530
450,111542,15534
4961,74281,15540
36514,85306,15546
58819,111239,15547
29657,77158,15548
94605,67577,15554
160625,40357,15556
137120,115370,15560
149666,148915,15561
104123,103330,15564
117984,118033,15564
23597,79299,15567
140255,34715,15577
30518,121034,15577
136502,5465,15578
147436,68858,15580
13159,121577,15581
9517,24819,15582
150990,150155,15597
141236,120884,15600
15745,46728,15602
10410,70397,15604
61725,142272,15610
61393,126718,15614
159994,56001,15618
142706,3748,15619
54581,75287,15626
20853,57014,15627
40367,106185,15633
128957,130947,15636
22295,47684,15638
142391,17047,15640
101058,20235,15644
129414,80420,15646
38515,26498,15648
36874,35025,15650
138136,14715,15651
90277,160052,15654
128996,60261,15655
104357,157183,15655
7167,25234,15657
78656,121654,15657
80214,60890,15659
28268,146037,15662
134507,38868,15664
104535,41448,15668
55214,37147,15674
97591,101383,15678
50903,114023,15679
110093,138518,15683
32137,120068,15699
160662,23608,15701
135878,33704,15712
83289,45949,15714
144134,123744,15715
1324,47623,15716
78136,32328,15719
48875,39809,15724
16650,141418,15728
63552,44102,15739
5344,122770,15743
90107,151170,15746
77620,16947,15747
91454,16164,15750
47154,77156,15755
64107,67129,15755
65005,160798,15757
42193,76153,15759
97057,116370,15763
129299,129784,15766
107964,74058,15769
98063,76313,15769
77943,134620,15777
115953,118395,15788
154145,78123,15796
52696,58509,15804
159178,39374,15808
28254,123921,15810
94899,102803,15811
102706,42349,15816
128652,68103,15837
149363,118824,15850
14024,145743,15853
29604,25582,15855
34153,37088,15857
52696,69112,15861
101448,96443,15867
93844,75759,15868
51294,9459,15869
41591,130543,15883
96421,138524,15892
12401,95123,15900
87057,35350,15901
46646,146074,15903
150933,21570,15903
119440,46319,15904
78351,148555,15906
132445,10466,15907
128511,63821,15907
123742,9512,15923
20645,33963,15926
147549,151393,15927
151131,7287,15941
10028,68355,15943
23012,26710,15945
114071,49538,15946
25006,120439,15948
96105,149375,15948
28322,117166,15953
154516,115791,15957
31713,86064,15962
113898,22499,15962
156507,122705,15963
96811,132622,15966
113137,73891,15970
40651,35462,15976
106184,114023,15976
37714,116433,15977
56316,32610,15986
146923,126327,15987
153179,64628,15987
130155,31040,15990
39723,98376,15992
7434,52178,15997
79910,73032,16004
53474,20847,16005
46802,2173,16007
113116,12900,16007
53981,108158,16017
152317,7148,16022
19876,34764,16028
17456,128123,16032
41266,137234,16034
39272,20701,16034
148154,53504,16034
135190,28383,16036
89982,107390,16036
48001,80349,16037
35207,58515,16038
8393,123744,16040
29460,77142,16040
48091,148549,16041
97622,49131,16047
7651,27674,16050
35511,147385,16053
69480,88687,16056
76228,75183,16070
16699,123338,16071
17680,26999,16080
88800,47680,16086
80773,145938,16095
